prompt,model,temperature,top_p,lexical_diversity,query_coverage,flesch_kincaid_grade,repetition_penalty
Who was John Moses Browning?,gemini-2.0-flash-lite,0.7,0.8,64.24,71.39,12.53,5.85
Who was John Moses Browning?,gemini-2.0-flash-lite,0.7,1.0,63.22,70.04,12.66,3.36
Who was John Moses Browning?,gemini-2.0-flash-lite,0.9,0.2,59.03,72.8,12.21,13.52
Who was John Moses Browning?,gemini-2.0-flash-lite,0.9,0.4,63.05,70.72,13.31,10.31
Who was John Moses Browning?,gemini-2.0-flash-lite,0.9,0.6,65.06,66.87,12.79,5.39
Who was John Moses Browning?,gemini-2.0-flash-lite,0.9,0.8,65.77,66.38,13.56,2.0
Who was John Moses Browning?,gemini-2.0-flash-lite,0.9,1.0,67.02,65.02,13.68,3.93
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.1,0.2,34.51,74.75,14.36,23.07
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.1,0.4,36.82,72.26,14.09,14.93
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.1,0.6,40.04,71.16,14.81,15.05
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.1,0.8,40.31,68.09,15.11,9.66
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.1,1.0,39.69,68.93,14.4,9.79
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.3,0.2,37.06,70.2,15.05,17.57
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.3,0.4,38.08,71.61,14.16,17.75
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.3,0.6,39.34,67.19,14.61,10.65
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.3,0.8,42.67,65.44,14.48,11.34
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.3,1.0,42.25,65.3,14.82,3.91
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.5,0.2,41.31,68.77,15.21,16.86
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.5,0.4,42.72,67.39,14.6,14.02
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.5,0.6,44.66,64.18,15.56,13.2
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.5,0.8,44.23,64.5,15.92,5.36
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.5,1.0,45.32,62.94,15.74,4.94
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.7,0.2,44.09,64.3,14.71,16.05
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.7,0.4,41.98,63.77,15.53,12.69
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.7,0.6,44.29,65.32,15.56,9.12
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.7,0.8,46.67,60.4,15.91,8.52
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.7,1.0,48.12,61.75,16.09,2.6
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.9,0.2,44.37,62.25,15.33,13.52
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.9,0.4,45.49,60.38,15.58,11.79
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.9,0.6,46.59,59.28,16.33,5.2
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.9,0.8,49.69,57.71,15.49,6.23
Who is Thomas Jefferson?,gemini-2.0-flash-lite,0.9,1.0,50.88,58.23,16.23,4.68
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.1,0.2,84.82,69.13,7.88,21.19
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.1,0.4,89.5,70.84,8.4,20.01
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.1,0.6,91.9,67.5,8.32,12.48
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.1,0.8,95.13,65.72,7.84,13.27
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.1,1.0,96.97,66.6,8.48,10.04
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.3,0.2,91.88,69.99,8.6,19.28
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.3,0.4,94.07,64.93,8.82,17.58
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.3,0.6,95.57,64.27,8.64,11.45
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.3,0.8,98.86,62.3,8.92,10.0
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.3,1.0,100.0,61.57,8.72,3.78
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.5,0.2,96.48,64.41,8.3,16.05
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.5,0.4,97.98,65.16,8.81,14.41
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.5,0.6,99.84,61.21,8.15,11.71
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.5,0.8,100.0,60.82,8.84,7.91
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.5,1.0,100.0,59.55,9.04,2.68
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.7,0.2,100.0,62.14,8.78,15.32
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.7,0.4,100.0,59.91,8.52,13.0
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.7,0.6,100.0,59.66,8.39,7.22
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.7,0.8,100.0,58.5,8.23,7.88
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.7,1.0,100.0,57.43,9.15,3.4
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.9,0.2,100.0,61.68,8.22,15.97
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.9,0.4,100.0,57.26,9.32,12.97
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.9,0.6,100.0,58.21,9.15,7.31
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.9,0.8,100.0,54.72,8.78,6.61
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,gemini-2.0-flash-lite,0.9,1.0,100.0,56.69,9.58,0.0
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.1,0.2,55.79,0.0,6.66,20.34
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.1,0.4,55.9,0.0,6.44,16.2
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.1,0.6,56.9,0.04,6.23,14.26
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.1,0.8,61.76,0.0,7.04,13.11
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.1,1.0,63.31,0.0,6.41,6.38
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.3,0.2,58.0,1.04,6.88,16.66
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.3,0.4,60.59,0.0,7.07,17.16
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.3,0.6,61.21,1.7,6.91,13.41
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.3,0.8,63.82,1.46,7.06,7.51
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.3,1.0,63.5,0.0,6.74,5.25
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.5,0.2,59.0,0.03,6.61,16.71
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.5,0.4,60.91,1.33,6.4,16.19
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.5,0.6,66.02,0.46,6.98,10.78
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.5,0.8,66.72,1.17,7.52,7.7
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.5,1.0,69.65,0.61,6.9,4.85
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.7,0.2,62.56,0.0,6.5,17.79
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.7,0.4,65.24,0.86,7.05,10.44
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.7,0.6,66.77,0.0,7.04,9.54
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.7,0.8,68.32,0.0,6.92,5.85
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.7,1.0,70.95,0.39,7.66,4.28
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.9,0.2,65.4,0.0,7.33,12.5
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.9,0.4,69.94,0.63,7.67,13.04
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.9,0.6,70.29,0.33,6.82,6.9
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.9,0.8,74.74,0.79,7.42,5.37
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,gemini-2.0-flash-lite,0.9,1.0,76.53,0.0,7.73,3.55
What is a polygon?,gemini-2.0-flash-lite,0.1,0.2,49.22,56.18,7.39,21.63
What is a polygon?,gemini-2.0-flash-lite,0.1,0.4,50.39,54.61,7.24,16.74
What is a polygon?,gemini-2.0-flash-lite,0.1,0.6,50.78,52.95,6.76,12.49
What is a polygon?,gemini-2.0-flash-lite,0.1,0.8,54.81,52.45,6.89,9.03
What is a polygon?,gemini-2.0-flash-lite,0.1,1.0,53.01,52.88,6.81,9.83
What is a polygon?,gemini-2.0-flash-lite,0.3,0.2,52.11,55.03,6.59,17.62
What is a polygon?,gemini-2.0-flash-lite,0.3,0.4,53.52,51.02,7.07,13.57
What is a polygon?,gemini-2.0-flash-lite,0.3,0.6,55.46,52.58,7.66,10.59
What is a polygon?,gemini-2.0-flash-lite,0.3,0.8,55.57,50.14,7.57,8.03
What is a polygon?,gemini-2.0-flash-lite,0.3,1.0,57.28,48.64,7.74,6.29
What is a polygon?,gemini-2.0-flash-lite,0.5,0.2,53.71,50.74,7.66,16.81
What is a polygon?,gemini-2.0-flash-lite,0.5,0.4,56.6,49.97,7.9,16.91
What is a polygon?,gemini-2.0-flash-lite,0.5,0.6,56.79,48.63,7.3,11.16
What is a polygon?,gemini-2.0-flash-lite,0.5,0.8,60.49,49.77,7.87,5.83
What is a polygon?,gemini-2.0-flash-lite,0.5,1.0,59.31,48.06,8.03,5.33
What is a polygon?,gemini-2.0-flash-lite,0.7,0.2,54.79,50.88,7.86,14.11
What is a polygon?,gemini-2.0-flash-lite,0.7,0.4,59.12,47.59,8.0,10.28
What is a polygon?,gemini-2.0-flash-lite,0.7,0.6,59.5,49.29,7.25,9.11
What is a polygon?,gemini-2.0-flash-lite,0.7,0.8,60.83,44.61,7.12,6.41
What is a polygon?,gemini-2.0-flash-lite,0.7,1.0,62.06,47.48,7.58,0.57
What is a polygon?,gemini-2.0-flash-lite,0.9,0.2,60.91,48.86,7.76,15.55
What is a polygon?,gemini-2.0-flash-lite,0.9,0.4,59.42,45.65,8.05,11.98
What is a polygon?,gemini-2.0-flash-lite,0.9,0.6,61.11,46.32,7.67,4.83
What is a polygon?,gemini-2.0-flash-lite,0.9,0.8,62.55,43.52,8.21,5.09
What is a polygon?,gemini-2.0-flash-lite,0.9,1.0,66.83,43.61,7.41,1.23
How do I start running?,gemini-2.0-flash-lite,0.1,0.2,64.82,72.19,5.75,21.96
How do I start running?,gemini-2.0-flash-lite,0.1,0.4,67.74,71.11,6.4,17.78
How do I start running?,gemini-2.0-flash-lite,0.1,0.6,68.28,71.4,5.66,12.06
How do I start running?,gemini-2.0-flash-lite,0.1,0.8,72.24,70.46,5.72,10.7
How do I start running?,gemini-2.0-flash-lite,0.1,1.0,75.48,67.01,6.67,5.61
How do I start running?,gemini-2.0-flash-lite,0.3,0.2,69.55,71.37,6.56,18.92
How do I start running?,gemini-2.0-flash-lite,0.3,0.4,71.31,69.88,6.2,18.49
How do I start running?,gemini-2.0-flash-lite,0.3,0.6,73.07,66.74,6.44,11.67
How do I start running?,gemini-2.0-flash-lite,0.3,0.8,77.29,67.85,6.48,11.01
How do I start running?,gemini-2.0-flash-lite,0.3,1.0,77.99,64.18,6.29,8.48
How do I start running?,gemini-2.0-flash-lite,0.5,0.2,71.99,69.79,6.05,18.17
How do I start running?,gemini-2.0-flash-lite,0.5,0.4,76.12,68.58,5.63,15.66
How do I start running?,gemini-2.0-flash-lite,0.5,0.6,77.72,65.18,5.67,9.2
How do I start running?,gemini-2.0-flash-lite,0.5,0.8,78.36,66.4,6.47,10.93
How do I start running?,gemini-2.0-flash-lite,0.5,1.0,82.67,62.35,7.07,3.15
How do I start running?,gemini-2.0-flash-lite,0.7,0.2,76.55,67.13,6.66,14.39
How do I start running?,gemini-2.0-flash-lite,0.7,0.4,77.92,64.14,6.84,13.86
How do I start running?,gemini-2.0-flash-lite,0.7,0.6,83.31,62.88,7.25,9.38
How do I start running?,gemini-2.0-flash-lite,0.7,0.8,84.02,63.7,7.02,8.21
How do I start running?,gemini-2.0-flash-lite,0.7,1.0,87.24,58.99,7.44,5.33
How do I start running?,gemini-2.0-flash-lite,0.9,0.2,81.14,62.62,6.1,14.77
How do I start running?,gemini-2.0-flash-lite,0.9,0.4,82.49,62.41,6.83,11.94
How do I start running?,gemini-2.0-flash-lite,0.9,0.6,84.97,58.84,7.68,6.92
How do I start running?,gemini-2.0-flash-lite,0.9,0.8,89.86,58.43,8.13,7.49
How do I start running?,gemini-2.0-flash-lite,0.9,1.0,88.47,58.55,7.72,3.61
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.1,0.2,71.35,38.81,10.29,20.85
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.1,0.4,74.24,34.47,10.31,18.87
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.1,0.6,75.05,35.19,11.02,14.83
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.1,0.8,78.78,36.79,10.9,12.78
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.1,1.0,80.84,34.45,11.05,9.1
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.3,0.2,73.76,34.12,11.23,18.59
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.3,0.4,76.79,35.24,10.77,14.16
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.3,0.6,79.5,36.32,10.91,15.1
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.3,0.8,82.16,32.15,11.71,9.31
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.3,1.0,86.27,32.78,10.9,7.69
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.5,0.2,80.27,33.61,10.99,14.39
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.5,0.4,81.54,35.23,11.7,15.27
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.5,0.6,85.56,33.55,11.75,11.05
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.5,0.8,84.81,31.13,11.08,9.74
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.5,1.0,86.91,31.88,11.47,6.82
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.7,0.2,83.23,33.44,10.9,14.26
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.7,0.4,87.5,33.21,11.54,14.01
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.7,0.6,89.27,29.96,12.19,10.25
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.7,0.8,90.26,31.72,11.55,8.67
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.7,1.0,94.06,30.89,11.47,6.2
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.9,0.2,86.88,33.31,11.09,11.54
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.9,0.4,88.24,29.66,11.52,12.06
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.9,0.6,91.49,32.09,12.32,9.88
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.9,0.8,93.59,30.2,12.02,2.55
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,gemini-2.0-flash-lite,0.9,1.0,96.28,29.13,12.08,0.0
What is process mining?,gemini-2.0-flash-lite,0.1,0.2,67.15,72.62,12.71,21.52
What is process mining?,gemini-2.0-flash-lite,0.1,0.4,68.1,74.04,12.73,19.15
What is process mining?,gemini-2.0-flash-lite,0.1,0.6,68.08,69.52,12.96,14.66
What is process mining?,gemini-2.0-flash-lite,0.1,0.8,72.87,71.07,12.82,12.03
What is process mining?,gemini-2.0-flash-lite,0.1,1.0,74.55,69.18,12.8,10.94
What is process mining?,gemini-2.0-flash-lite,0.3,0.2,69.14,72.56,13.01,17.38
What is process mining?,gemini-2.0-flash-lite,0.3,0.4,69.79,68.24,12.85,15.51
What is process mining?,gemini-2.0-flash-lite,0.3,0.6,72.61,69.1,12.83,13.91
What is process mining?,gemini-2.0-flash-lite,0.3,0.8,77.02,68.78,13.75,7.38
What is process mining?,gemini-2.0-flash-lite,0.3,1.0,77.86,66.25,13.1,6.4
What is process mining?,gemini-2.0-flash-lite,0.5,0.2,72.1,67.66,12.57,15.74
What is process mining?,gemini-2.0-flash-lite,0.5,0.4,74.86,67.8,12.88,16.19
What is process mining?,gemini-2.0-flash-lite,0.5,0.6,76.26,65.31,13.41,9.88
What is process mining?,gemini-2.0-flash-lite,0.5,0.8,80.96,64.66,13.47,7.99
What is process mining?,gemini-2.0-flash-lite,0.5,1.0,81.44,61.43,14.12,5.03
What is process mining?,gemini-2.0-flash-lite,0.7,0.2,78.72,64.86,13.14,12.7
What is process mining?,gemini-2.0-flash-lite,0.7,0.4,79.13,66.2,13.63,12.22
What is process mining?,gemini-2.0-flash-lite,0.7,0.6,81.59,64.73,13.5,11.69
What is process mining?,gemini-2.0-flash-lite,0.7,0.8,84.64,63.06,13.55,5.8
What is process mining?,gemini-2.0-flash-lite,0.7,1.0,86.31,59.45,13.91,0.84
What is process mining?,gemini-2.0-flash-lite,0.9,0.2,80.69,64.39,13.32,16.73
What is process mining?,gemini-2.0-flash-lite,0.9,0.4,83.69,60.48,14.28,10.16
What is process mining?,gemini-2.0-flash-lite,0.9,0.6,86.44,60.03,14.37,9.33
What is process mining?,gemini-2.0-flash-lite,0.9,0.8,86.35,59.37,13.98,2.07
What is process mining?,gemini-2.0-flash-lite,0.9,1.0,88.4,57.34,14.08,1.54
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.1,0.2,58.85,55.56,10.25,20.88
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.1,0.4,59.12,56.46,10.85,16.0
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.1,0.6,61.87,54.81,10.71,15.45
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.1,0.8,63.77,53.76,10.63,12.24
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.1,1.0,68.54,51.83,11.25,9.55
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.3,0.2,62.59,51.61,10.64,21.4
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.3,0.4,65.02,53.6,10.88,16.93
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.3,0.6,66.27,50.18,11.05,13.32
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.3,0.8,69.35,49.09,11.22,6.79
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.3,1.0,71.83,47.94,10.54,5.48
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.5,0.2,63.86,52.26,10.79,18.65
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.5,0.4,68.99,51.99,11.29,11.37
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.5,0.6,67.91,48.33,10.91,11.97
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.5,0.8,71.51,47.76,10.83,10.47
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.5,1.0,72.82,46.92,11.66,6.33
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.7,0.2,69.24,50.27,11.25,13.55
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.7,0.4,69.71,48.73,10.9,15.24
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.7,0.6,71.96,46.66,10.99,10.63
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.7,0.8,74.09,45.9,11.97,8.17
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.7,1.0,75.97,43.99,11.77,2.68
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.9,0.2,74.01,48.77,11.88,15.63
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.9,0.4,73.3,45.65,11.7,9.88
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.9,0.6,75.96,44.53,11.53,6.01
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.9,0.8,78.39,46.23,11.9,2.62
What are some unique curtain tie backs that you can make yourself?,gemini-2.0-flash-lite,0.9,1.0,80.75,43.85,11.47,2.82
What is a dispersive prism?,gemini-2.0-flash-lite,0.1,0.2,60.87,74.56,9.63,19.68
What is a dispersive prism?,gemini-2.0-flash-lite,0.1,0.4,63.75,71.07,10.6,14.23
What is a dispersive prism?,gemini-2.0-flash-lite,0.1,0.6,65.21,73.05,10.27,16.81
What is a dispersive prism?,gemini-2.0-flash-lite,0.1,0.8,68.66,69.91,10.13,13.98
What is a dispersive prism?,gemini-2.0-flash-lite,0.1,1.0,68.56,69.25,11.09,5.74
What is a dispersive prism?,gemini-2.0-flash-lite,0.3,0.2,64.6,71.48,10.65,21.22
What is a dispersive prism?,gemini-2.0-flash-lite,0.3,0.4,68.08,68.7,10.95,13.65
What is a dispersive prism?,gemini-2.0-flash-lite,0.3,0.6,70.24,70.66,10.47,12.57
What is a dispersive prism?,gemini-2.0-flash-lite,0.3,0.8,72.44,69.19,11.22,11.86
What is a dispersive prism?,gemini-2.0-flash-lite,0.3,1.0,70.86,66.28,10.34,9.5
What is a dispersive prism?,gemini-2.0-flash-lite,0.5,0.2,66.99,70.63,10.65,16.96
What is a dispersive prism?,gemini-2.0-flash-lite,0.5,0.4,71.74,68.74,10.67,12.16
What is a dispersive prism?,gemini-2.0-flash-lite,0.5,0.6,70.57,64.65,10.76,9.54
What is a dispersive prism?,gemini-2.0-flash-lite,0.5,0.8,72.99,65.62,11.27,8.41
What is a dispersive prism?,gemini-2.0-flash-lite,0.5,1.0,77.41,62.04,11.46,7.38
What is a dispersive prism?,gemini-2.0-flash-lite,0.7,0.2,72.71,66.06,10.32,16.42
What is a dispersive prism?,gemini-2.0-flash-lite,0.7,0.4,72.28,63.23,10.71,10.89
What is a dispersive prism?,gemini-2.0-flash-lite,0.7,0.6,74.71,62.28,11.33,12.12
What is a dispersive prism?,gemini-2.0-flash-lite,0.7,0.8,77.01,62.89,10.55,7.32
What is a dispersive prism?,gemini-2.0-flash-lite,0.7,1.0,80.7,58.92,10.79,2.24
What is a dispersive prism?,gemini-2.0-flash-lite,0.9,0.2,74.58,63.35,11.5,15.02
What is a dispersive prism?,gemini-2.0-flash-lite,0.9,0.4,76.33,60.47,11.64,9.57
What is a dispersive prism?,gemini-2.0-flash-lite,0.9,0.6,79.68,59.55,10.8,5.72
What is a dispersive prism?,gemini-2.0-flash-lite,0.9,0.8,82.34,59.76,11.25,5.1
What is a dispersive prism?,gemini-2.0-flash-lite,0.9,1.0,83.37,58.15,11.66,1.09
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.1,0.2,73.8,70.39,6.79,17.69
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.1,0.4,77.22,68.94,5.9,17.59
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.1,0.6,78.31,67.07,6.48,14.64
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.1,0.8,81.29,64.94,6.57,8.9
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.1,1.0,84.13,64.71,6.12,8.26
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.3,0.2,80.42,66.69,6.49,18.34
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.3,0.4,80.04,65.47,6.91,16.94
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.3,0.6,84.02,65.64,6.9,13.07
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.3,0.8,85.24,62.5,6.15,12.56
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.3,1.0,91.43,60.15,7.26,3.79
